#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=1. Vispārējās izglītības sistēmā nepieciešamo pedagoģisko darbinieku skaitu ietekmē ne tikai skolēnu skaits, bet arī virkne sociālu un ekonomisku faktoru, lai mazinātu nenoteiktību, tāpēc ir nepieciešams apstiprināt pamatprincipus skolu tīkla veidošanai, kā arī vispārējās izglītības finansēšanai tuvākajās desmitgadēs.
1-1	0-2	1.	*	*	*	*	*	*	*	*	*	NumType=Ord	*	*	xo	1.	_	_	obl	basic	1-9	
1-2	3-13	Vispārējās	Fem	Sing	Gen	Pos	*	*	*	*	*	Case=Gen\|Degree=Pos\|Gender=Fem\|Number=Sing	*	*	arfsgyp	vispārēja	_	_	amod	basic	1-3	
1-3	14-24	izglītības	Fem	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Sing	*	*	ncfsg4	izglītība	_	_	nmod	basic	1-4	
1-4	25-32	sistēmā	Fem	Sing	Loc	*	*	*	*	*	*	Case=Loc\|Gender=Fem\|Number=Sing	*	*	ncfsl4	sistēma	_	_	obl	basic	1-5	
1-5	33-45	nepieciešamo	Masc	Sing	Acc	Pos	*	*	*	*	*	Case=Acc\|Degree=Pos\|Gender=Masc\|Number=Sing	*	*	afmsayp	nepieciešams	_	_	amod	basic	1-7	
1-6	46-57	pedagoģisko	Masc	Plur	Gen	Pos	*	*	*	*	*	Case=Gen\|Degree=Pos\|Gender=Masc\|Number=Plur	*	*	armpgyp	pedagoģisks	_	_	amod	basic	1-7	
1-7	58-68	darbinieku	Masc	Plur	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Plur	*	*	ncmpg1	darbinieks	_	_	nmod	basic	1-8	
1-8	69-75	skaitu	Masc	Sing	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Masc\|Number=Sing	*	*	ncmsa1	skaits	_	_	obj	basic	1-9	
1-9	76-83	ietekmē	*	*	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Tense=Pres\|VerbForm=Fin\|Voice=Act	3	*	vmnipt230an	ietekmēt	_	_	root	basic	1-9	
1-10	84-86	ne	_	_	_	_	_	_	_	_	_	_	_	_	cc	ne	_	_	cc	basic	1-13	
1-11	87-92	tikai	_	_	_	_	_	_	_	_	_	_	_	_	q	tikai	_	_	discourse	basic	1-10	
1-12	93-100	skolēnu	Masc	Plur	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Plur	*	*	ncmpg1	skolēns	_	_	nmod	basic	1-13	
