#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Meitene tikām runāja vēl ātrāk, - dzirdēju viņas balsi, drusku vienmuļu, apsūbējušu, ar tādu kā taisnošanās intonāciju, sasprindzināju dzirdi, taču ne vārda nevarēju atšķirt.
1-1	0-7	Meitene	Fem	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Sing	*	*	ncfsn5	meitene	*[1]	*->1-1	nsubj	basic	1-3	
1-2	8-13	tikām	_	_	_	_	_	_	_	_	_	_	_	_	r0t	tikām	_	_	advmod	basic	1-3	
1-3	14-20	runāja	*	*	*	*	*	Past	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Tense=Past\|VerbForm=Fin\|Voice=Act	3	*	vmnist230an	runāt	_	_	root	basic	1-3	
1-4	21-24	vēl	_	_	_	_	_	_	_	_	_	_	_	_	r0q	vēl	_	_	advmod	basic	1-5	
1-5	25-30	ātrāk	*	*	*	Cmp	*	*	*	*	*	Degree=Cmp	*	*	rct	ātri	_	_	advmod	basic	1-3	
1-6	30-31	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	_	_	punct	basic	1-8	
1-7	32-33	-	_	_	_	_	_	_	_	_	_	_	_	_	zd	-	_	_	punct	basic	1-8	
1-8	34-42	dzirdēju	*	Sing	*	*	*	Past	Ind	Act	*	Evident=Fh\|Mood=Ind\|Number=Sing\|Person=1\|Polarity=Pos\|Tense=Past\|VerbForm=Fin\|Voice=Act	1	*	vmnist31san	dzirdēt	_	_	conj	basic	1-3	
1-9	43-48	viņas	Fem	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Sing\|Person=3\|PronType=Prs	3	*	pp3fsgn	viņa	*[1]	*->1-2	det	basic	1-10	
1-10	49-54	balsi	Fem	Sing	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Sing	*	*	ncfsa6	balss	_	_	obj	basic	1-8	
1-11	54-55	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	_	_	punct	basic	1-13	
