#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Dienas Bizness: "Aizķērušies" valsts iestāžu reģistra likumi
1-1	0-6	Dienas	Fem	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Sing	*	*	ncfsg4	diena	organization[1]	*[1]	nmod	basic	1-2	
1-2	7-14	Bizness	Masc	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Masc\|Number=Sing	*	*	ncmsn1	bizness	organization[1]	*[1]	parataxis	basic	1-5	
1-3	14-15	:	_	_	_	_	_	_	_	_	_	_	_	_	zo	:	_	_	punct	basic	1-2	
1-4	16-17	"	_	_	_	_	_	_	_	_	_	_	_	_	zq	"	_	_	punct	basic	1-5	
1-5	17-28	Aizķērušies	Masc	Plur	Nom	Pos	*	Past	*	*	*	Aspect=Perf\|Case=Nom\|Definite=Ind\|Degree=Pos\|Gender=Masc\|Number=Plur\|Reflex=Yes\|Tense=Past\|VerbForm=Part	*	Perf	vmypdmpnasnp	aizķerties	_	_	root	basic	1-5	
1-6	28-29	"	_	_	_	_	_	_	_	_	_	_	_	_	zq	"	_	_	punct	basic	1-5	
1-7	30-36	valsts	Fem	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Sing	*	*	ncfsg6	valsts	_	_	nmod	basic	1-8	
1-8	37-44	iestāžu	Fem	Plur	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Plur	*	*	ncfpg5	iestāde	_	_	nmod	basic	1-9	
1-9	45-53	reģistra	Masc	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Sing	*	*	ncmsg1	reģistrs	_	_	nmod	basic	1-10	
1-10	54-60	likumi	Masc	Plur	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Masc\|Number=Plur	*	*	ncmpn1	likums	_	_	nsubj	basic	1-5	
